Water,Protein,Total lipid (fat),"Carbohydrate, by difference","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Copper, Cu","Manganese, Mn","Selenium, Se","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,"Folate, total",Vitamin B-12,"Vitamin A, RAE",Cholesterol,"Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
91.0,2.0,0.1,6.1,35.0,0.4,28.0,42.0,230.0,28.0,0.27,0.062,0.18,0.9,31.0,0.07,0.03,0.3,0.187,0.19,80.0,0.0,50.0,0.0,0.013,0.007,0.049
94.0,0.7,0.1,4.07,70.0,0.7,42.0,23.0,400.0,170.0,0.17,0.231,0.256,0.2,2.0,0.02,0.03,0.3,0.338,0.116,68.0,0.0,0.0,0.0,0.011,0.018,0.041
92.07,1.92,0.28,4.97,22.0,0.42,15.0,44.0,299.0,30.0,0.27,0.039,0.155,0.6,48.2,0.05,0.06,0.507,0.667,0.184,57.0,0.0,0.0,0.0,0.13,0.034,0.031
89.79,2.95,0.3,6.09,33.0,0.73,20.0,62.0,300.0,23.0,0.64,0.041,0.247,0.6,88.1,0.08,0.102,0.734,0.696,0.222,57.0,0.0,8.0,0.0,0.047,0.028,0.133
88.0,1.5,0.3,9.2,43.0,0.7,20.0,115.0,300.0,100.0,0.33,0.07,0.158,0.7,8.0,0.05,0.06,0.7,0.352,0.165,8.0,0.0,0.0,0.0,0.079,0.058,0.148
95.43,0.69,0.17,2.97,40.0,0.2,11.0,24.0,260.0,80.0,0.13,0.035,0.103,0.4,3.1,0.021,0.057,0.32,0.246,0.074,36.0,0.0,22.0,0.0,0.042,0.032,0.079
94.24,0.82,0.13,4.51,17.0,0.34,12.0,18.0,125.0,2.0,0.74,0.123,0.189,0.2,7.7,0.025,0.029,0.47,0.249,0.076,93.0,0.0,0.0,0.0,0.028,0.01,0.057
7.68,20.47,6.04,62.95,57.0,4.31,79.0,252.0,718.0,24.0,2.76,0.656,4.15,0.0,4.0,0.477,0.212,1.541,1.588,0.535,557.0,0.0,3.0,0.0,0.603,1.377,2.731
89.62,3.02,0.61,5.42,232.0,0.47,27.0,25.0,213.0,17.0,0.21,0.046,0.658,1.3,35.3,0.054,0.13,0.742,0.267,0.165,129.0,0.0,251.0,0.0,0.055,0.03,0.201
75.96,3.22,1.18,19.02,2.0,0.52,37.0,89.0,270.0,15.0,0.45,0.054,0.161,0.6,6.8,0.2,0.06,1.7,0.76,0.055,46.0,0.0,0.0,0.0,0.182,0.347,0.559
76.05,3.27,1.35,18.7,2.0,0.52,37.0,89.0,270.0,15.0,0.46,0.054,0.163,0.6,6.8,0.155,0.055,1.77,0.717,0.093,42.0,0.0,9.0,0.0,0.325,0.432,0.487
77.2,2.95,0.35,18.83,126.0,1.1,51.0,53.0,431.0,4.0,1.01,0.13,0.56,2.3,2.5,0.11,0.145,1.45,0.151,0.067,168.0,0.0,41.0,0.0,0.09,0.032,0.15
11.05,23.85,2.07,59.64,85.0,9.95,333.0,438.0,1375.0,58.0,6.11,1.059,1.544,9.1,1.5,0.68,0.17,2.795,1.511,0.361,639.0,0.0,2.0,0.0,0.542,0.173,0.889
11.95,23.52,1.26,60.03,110.0,8.27,184.0,424.0,1112.0,16.0,3.37,0.845,1.528,9.0,1.5,0.853,0.226,2.075,1.496,0.357,633.0,0.0,3.0,0.0,0.331,0.106,0.542
89.78,4.1,0.25,4.82,63.0,1.92,43.0,9.0,455.0,7.0,0.29,0.191,0.509,0.9,36.0,0.354,0.175,1.12,0.06,0.177,101.0,0.0,36.0,0.0,0.066,0.022,0.106
86.0,3.3,0.3,9.5,65.0,1.0,58.0,65.0,215.0,4.0,0.34,0.1,0.308,0.9,33.0,0.15,0.14,1.2,0.945,0.173,53.0,0.0,68.0,0.0,0.079,0.027,0.127
89.4,2.6,0.7,5.5,81.0,1.3,38.0,76.0,606.0,14.0,0.23,0.17,0.553,0.9,69.0,0.08,0.26,1.0,0.242,0.247,80.0,0.0,346.0,0.0,0.023,0.239,0.228
85.6,2.7,0.7,9.2,187.0,3.1,36.0,66.0,397.0,76.0,0.41,0.171,0.342,0.5,35.0,0.19,0.26,0.806,0.084,0.251,27.0,0.0,508.0,0.0,0.17,0.014,0.306
93.0,2.0,0.7,3.2,44.0,2.4,103.0,63.0,390.0,4.0,0.2,0.131,0.349,0.9,48.0,0.04,0.1,0.5,0.041,0.122,13.0,0.0,200.0,0.0,0.0,0.0,0.0
78.66,9.4,1.4,8.28,185.0,4.0,42.0,112.0,337.0,9.0,0.6,0.105,1.063,0.9,51.7,0.257,0.66,2.22,0.125,1.2,40.0,0.0,378.0,0.0,0.0,0.0,0.0
88.2,2.1,0.2,8.53,30.0,0.36,45.0,50.0,461.0,42.0,0.45,0.084,0.259,0.7,141.0,0.053,0.074,0.62,0.794,0.12,44.0,0.0,4.0,0.0,0.033,0.102,0.003
93.85,1.2,0.2,4.35,20.0,0.36,14.0,32.0,139.0,3.0,0.07,0.035,0.092,0.2,12.0,0.05,0.06,0.4,0.218,0.043,7.0,0.0,0.0,0.0,0.016,0.037,0.087
95.54,0.62,0.02,3.39,26.0,0.2,11.0,13.0,150.0,2.0,0.7,0.026,0.066,0.2,10.1,0.029,0.022,0.32,0.152,0.04,6.0,0.0,0.0,0.0,0.002,0.004,0.009
80.8,2.55,0.95,14.32,18.0,0.26,22.0,40.0,417.0,2.0,0.23,0.23,0.15,0.6,228.3,0.067,0.04,1.084,0.451,0.11,49.0,0.0,31.0,0.0,0.272,0.087,0.401
9.38,23.9,1.69,60.74,130.0,5.1,283.0,372.0,1235.0,21.0,9.3,1.335,1.573,8.2,0.0,1.13,0.136,1.61,1.237,0.155,23.0,0.0,0.0,0.0,0.288,0.076,0.715
87.87,2.1,0.2,9.19,50.0,0.74,40.0,49.0,252.0,2.0,0.37,0.047,0.205,1.5,12.9,0.077,0.092,0.52,0.055,0.024,62.0,0.0,43.0,0.0,0.088,0.095,0.008
87.72,4.65,0.25,5.8,208.0,4.76,64.0,83.0,559.0,8.0,0.79,0.255,0.123,0.9,37.0,0.133,0.546,1.26,0.072,0.6,123.0,0.0,278.0,0.0,0.038,0.017,0.12
