"Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Vitamin A, RAE"
21.0,2.19,29.0,217.0,324.0,83.0,6.6,0.0,0.1,0.28,6.15,0.14,0.0
19.0,2.13,25.0,200.0,265.0,68.0,6.04,0.0,0.09,0.26,5.76,0.15,0.0
19.0,1.5,90.0,102.0,477.0,4.0,0.93,38.4,0.15,0.09,1.5,0.437,0.0
35.0,2.1,64.0,93.0,427.0,19.0,1.43,28.0,0.45,0.0,0.7,0.418,4.0
58.0,1.58,178.0,363.0,634.0,6.0,2.77,0.0,0.152,0.197,14.355,0.466,0.0
86.0,0.9,62.0,175.0,1082.0,28.0,1.03,7.6,0.41,0.24,7.4,0.42,15.0
17.0,0.99,24.0,217.0,337.0,83.0,3.87,0.0,0.07,0.27,8.03,0.39,0.0
6.0,0.91,28.0,234.0,389.0,68.0,3.04,0.0,0.06,0.32,9.93,0.31,0.0
6.0,0.9,28.0,236.0,393.0,68.0,3.08,0.0,0.06,0.33,10.08,0.31,0.0
6.0,1.39,38.0,277.0,323.0,88.0,3.29,0.0,0.093,0.47,10.1,0.761,0.0
19.0,0.87,25.0,212.0,325.0,93.0,3.03,0.0,0.05,0.28,8.86,0.34,0.0
21.0,0.85,26.0,222.0,340.0,96.0,3.24,0.0,0.06,0.3,9.46,0.37,0.0
11.0,0.97,22.0,197.0,295.0,92.0,4.09,0.0,0.05,0.27,6.98,0.25,0.0
12.0,0.96,24.0,207.0,311.0,97.0,4.49,0.0,0.06,0.29,7.5,0.27,0.0
26.0,1.15,26.0,221.0,348.0,90.0,4.18,0.0,0.06,0.32,8.02,0.29,0.0
27.0,1.16,27.0,226.0,356.0,91.0,4.32,0.0,0.07,0.33,8.24,0.3,0.0
24.0,1.59,33.0,242.0,235.0,111.0,4.71,0.0,0.103,0.445,4.94,0.41,0.0
21.0,1.65,34.0,253.0,245.0,113.0,5.07,0.0,0.11,0.48,5.14,0.435,0.0
28.0,1.0,24.0,212.0,306.0,100.0,5.58,0.0,0.07,0.35,5.73,0.24,0.0
28.0,1.0,24.0,215.0,310.0,102.0,5.72,0.0,0.07,0.36,5.82,0.24,0.0
27.0,1.03,25.0,215.0,322.0,96.0,5.12,0.0,0.07,0.34,6.33,0.26,0.0
27.0,1.03,25.0,218.0,327.0,97.0,5.25,0.0,0.07,0.34,6.44,0.26,0.0
13.0,0.92,26.0,223.0,351.0,83.0,3.35,0.0,0.06,0.35,8.87,0.32,0.0
14.0,0.91,27.0,231.0,365.0,85.0,3.54,0.0,0.06,0.37,9.33,0.34,0.0
