"Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Vitamin A, RAE"
7.0,0.43,12.0,26.0,211.0,4.0,0.25,127.7,0.054,0.085,0.979,0.291,157.0
130.0,5.23,183.0,367.0,1392.0,17.0,2.76,0.0,0.643,0.187,2.965,0.283,1.0
42.0,1.6,68.0,127.0,552.0,5.0,1.04,39.0,0.4,0.17,2.2,0.068,3.0
2.0,0.75,41.0,31.0,431.0,2.0,0.18,20.2,0.1,0.1,0.55,0.07,0.0
53.0,1.7,18.0,44.0,242.0,23.0,0.24,136.0,0.08,0.33,1.2,0.146,435.0
12.0,0.81,23.0,57.0,425.0,6.0,0.3,19.7,0.081,0.032,1.061,0.298,0.0
30.0,3.24,23.0,38.0,413.0,10.0,0.35,11.4,0.021,0.038,1.033,0.239,0.0
130.0,1.27,63.0,31.0,156.0,5.0,0.37,5.5,0.178,0.09,1.071,0.47,0.0
39.0,0.7,24.0,49.0,173.0,5.0,0.0,28.0,0.042,0.075,0.69,0.0,97.0
39.0,2.22,38.0,104.0,436.0,11.0,0.2,11.0,0.094,0.128,0.92,0.207,97.0
21.0,0.8,12.0,44.0,340.0,1.0,0.32,9.0,0.05,0.11,0.6,0.061,426.0
65.0,1.99,68.0,44.0,494.0,45.0,0.17,21.0,0.047,0.112,0.48,0.073,0.0
47.0,4.57,197.0,457.0,563.0,5.0,3.1,0.0,0.36,0.318,1.52,0.487,1.0
27.0,0.4,16.0,23.0,227.0,21.0,0.15,22.0,0.02,0.02,0.2,0.046,0.0
18.0,0.7,12.0,153.0,30.0,182.0,0.74,0.0,0.031,0.017,0.221,0.015,0.0
9.0,1.29,116.0,311.0,250.0,5.0,2.13,0.0,0.541,0.095,6.494,0.477,0.0
33.0,1.8,143.0,264.0,268.0,4.0,2.02,0.0,0.413,0.043,4.308,0.509,0.0
8.0,1.16,98.0,275.0,219.0,6.0,1.96,0.0,0.277,0.092,4.973,0.407,0.0
43.0,0.44,20.0,53.0,305.0,12.0,0.24,25.0,0.09,0.04,0.7,0.1,0.0
60.0,0.7,23.0,75.0,380.0,20.0,0.38,8.0,0.08,0.22,0.5,0.277,0.0
36.0,3.67,54.0,175.0,941.0,25.0,0.9,6.6,0.482,0.301,0.438,0.32,13.0
19.0,0.84,12.0,30.0,184.0,15.0,0.0,73.0,0.083,0.081,0.43,0.0,0.0
197.0,3.55,65.0,194.0,620.0,15.0,0.99,29.0,0.435,0.175,1.65,0.065,9.0
277.0,15.7,280.0,704.0,1797.0,2.0,4.89,6.0,0.874,0.87,1.623,0.377,1.0
67.0,2.1,72.0,164.0,484.0,14.0,1.17,15.3,0.34,0.118,1.148,0.176,1.0
39.0,4.15,65.0,163.0,201.0,8.0,1.79,0.0,1.187,0.475,7.654,0.178,0.0
58.0,2.13,174.0,332.0,376.0,36.0,2.76,0.0,0.373,0.196,4.55,0.323,23.0
27.0,4.44,136.0,401.0,388.0,8.0,3.28,0.0,0.364,0.113,6.843,0.23,0.0
