"Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Vitamin A, RAE"
211.0,3.14,62.0,72.0,550.0,11.0,0.79,33.0,0.091,0.192,0.89,0.57,259.0
150.0,0.84,25.0,42.0,144.0,16.0,0.27,17.8,0.063,0.14,0.457,0.063,146.0
25.0,0.4,19.0,45.0,340.0,21.0,0.31,54.0,0.04,0.02,0.39,0.154,2.0
30.0,1.1,14.0,17.0,87.0,10.0,0.06,4.2,0.026,0.02,0.2,0.113,41.0
19.0,3.33,36.0,180.0,369.0,2.0,1.27,1.5,0.169,0.073,1.06,0.178,0.0
14.0,3.1,35.0,153.0,284.0,10.0,1.6,12.6,0.22,0.09,1.2,0.164,2.0
32.0,2.45,74.0,130.0,570.0,17.0,0.79,10.1,0.14,0.096,1.04,0.193,15.0
17.0,2.39,43.0,111.0,508.0,2.0,0.95,0.0,0.161,0.055,0.421,0.161,0.0
29.0,2.4,53.0,127.0,401.0,3.0,1.03,0.0,0.161,0.055,0.66,0.078,0.0
26.0,0.9,22.0,78.0,363.0,45.0,0.33,27.4,0.127,0.01,0.3,0.218,0.0
51.0,1.2,54.0,128.0,245.0,4.0,1.38,1.1,0.134,0.053,0.495,0.009,0.0
3.0,0.63,44.0,100.0,62.0,2.0,0.91,0.0,0.106,0.082,1.33,0.108,0.0
3.0,3.14,104.0,150.0,304.0,10.0,0.59,1.0,0.124,0.023,0.668,0.093,1.0
8.0,0.43,10.0,40.0,495.0,12.0,0.32,0.0,0.086,0.014,0.13,0.209,0.0
27.0,1.4,48.0,99.0,266.0,2.0,0.84,1.0,0.164,0.061,0.577,0.067,1.0
12.0,0.65,14.0,28.0,101.0,10.0,0.47,11.4,0.05,0.102,0.817,0.054,1.0
53.0,1.75,63.0,156.0,231.0,7.0,0.83,1.0,0.15,0.075,1.5,0.058,2.0
3.0,0.44,14.0,29.0,117.0,4.0,1.33,0.3,0.037,0.17,1.5,0.159,0.0
6.0,1.74,12.0,87.0,356.0,2.0,0.87,4.0,0.073,0.3,4.46,0.095,0.0
118.0,0.87,13.0,42.0,162.0,9.0,0.22,25.3,0.041,0.063,0.433,0.098,618.0
158.0,0.8,7.0,18.0,285.0,14.0,0.11,65.0,0.041,0.062,0.43,0.097,410.0
48.0,0.66,32.0,22.0,102.0,107.0,0.31,16.0,0.03,0.107,0.39,0.237,0.0
4.0,0.48,9.0,25.0,35.0,60.0,0.12,0.0,0.094,0.026,0.51,0.04,0.0
8.0,0.52,2.0,27.0,29.0,161.0,0.22,0.0,0.02,0.033,0.097,0.013,0.0
164.0,0.5,47.0,16.0,195.0,20.0,0.21,5.3,0.011,0.04,0.296,0.067,22.0
12.0,0.97,58.0,66.0,306.0,2.0,0.6,24.7,0.11,0.123,0.548,0.281,7.0
46.0,1.73,54.0,99.0,715.0,27.0,0.25,26.7,0.148,0.104,0.731,0.233,1.0
11.0,0.53,18.0,26.0,119.0,5.0,0.4,9.5,0.125,0.059,0.543,0.102,1.0
10.0,0.88,40.0,119.0,92.0,1.0,0.53,0.0,0.16,0.034,0.144,0.025,0.0
77.0,0.28,36.0,32.0,135.0,6.0,0.43,16.3,0.132,0.055,0.871,0.187,14.0
22.0,0.24,11.0,35.0,166.0,3.0,0.21,5.2,0.042,0.023,0.165,0.129,0.0
