"Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Vitamin A, RAE"
11.0,0.79,23.0,163.0,204.0,65.0,0.93,0.0,0.059,0.086,8.908,0.48,29.0
12.0,0.73,27.0,187.0,239.0,68.0,0.97,0.0,0.068,0.092,10.604,0.54,8.0
7.0,0.68,18.0,157.0,204.0,81.0,1.29,0.0,0.073,0.145,4.625,0.347,23.0
11.0,0.46,16.0,123.0,187.0,84.0,1.21,0.0,0.054,0.103,5.697,0.528,9.0
13.0,0.88,22.0,155.0,194.0,81.0,1.63,1.2,0.059,0.101,7.359,0.53,18.0
11.0,2.4,15.0,139.0,209.0,63.0,1.36,2.8,0.197,0.21,3.934,0.19,50.0
11.0,2.4,19.0,203.0,271.0,74.0,1.9,5.8,0.36,0.45,5.3,0.34,24.0
3.0,4.5,42.0,236.0,300.0,120.0,3.5,0.0,0.267,0.451,7.397,0.634,0.0
4.0,4.96,40.0,236.0,330.0,90.0,3.59,0.0,0.36,0.458,7.504,0.643,4.0
7.0,4.02,24.0,222.0,320.0,56.0,3.48,0.0,0.27,0.457,7.485,0.642,0.0
4.0,5.23,26.0,229.0,318.0,102.0,4.33,0.0,0.42,0.446,7.304,0.626,5.0
3.0,3.19,27.0,188.0,353.0,51.0,1.28,0.0,0.32,0.58,0.0,0.0,0.0
15.0,6.9,25.0,237.0,348.0,51.0,0.0,2.0,0.06,0.22,1.9,0.0,0.0
18.0,2.32,0.0,224.0,436.0,78.0,4.86,7.0,0.04,0.09,4.64,0.0,0.0
5.0,2.66,27.0,237.0,390.0,47.0,2.92,0.0,0.217,0.337,6.183,0.562,0.0
12.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.39,0.11,4.0,0.0,0.0
12.0,1.61,32.0,197.0,297.0,53.0,1.93,0.0,0.04,0.2,5.97,0.53,0.0
17.0,4.69,26.0,208.0,295.0,57.0,4.0,0.0,0.32,0.72,5.5,0.37,0.0
5.0,3.4,23.0,202.0,318.0,51.0,2.09,0.0,0.22,0.48,6.37,0.37,0.0
11.0,2.92,21.0,201.0,330.0,75.0,4.2,0.0,0.547,0.287,5.7,0.464,0.0
4.0,2.76,23.0,161.0,312.0,58.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0
12.0,2.75,22.0,195.0,322.0,79.0,5.4,0.0,0.125,0.26,4.89,0.336,0.0
13.0,2.83,0.0,180.0,385.0,82.0,4.0,0.0,0.11,0.49,3.75,0.0,0.0
